Iteration 1,Iteration 2,Standard Deviation,Num of Justifications,Std Dev %,defectAxiom,Max Common Axioms,example,Axiom Count:,Average Runtime,Max Justification Size,Iteration 3
9079,9150,35.84,1,0.39,SubClassOf(<file:/media/owl/Seagate%20Expansion%20Drive/mowlcorp_rep/mowlcorp_2014.10.07_orig/files/F16_Container_Work> <file:/media/owl/Seagate%20Expansion%20Drive/mowlcorp_rep/mowlcorp_2014.10.07_orig/files/E89_Propositional_Object>),0,ore_ont_338.owl,418,9111,2,9106
9137,9066,57.57,2,0.63,SubClassOf(<file:/media/owl/Seagate%20Expansion%20Drive/mowlcorp_rep/mowlcorp_2014.10.07_orig/files/75a65645-51c9-4fe9-9f71-443fde726c1a__v5.0.1__.rdfs#E29_> <file:/media/owl/Seagate%20Expansion%20Drive/mowlcorp_rep/mowlcorp_2014.10.07_orig/files/75a65645-51c9-4fe9-9f71-443fde726c1a__v5.0.1__.rdfs#E28_>),1,ore_ont_15145.owl,186,9075,3,9023
16962,16878,1017.58,1,5.81,SubClassOf(<http://purl.obolibrary.org/obo/FMA_27442> <http://purl.obolibrary.org/obo/FMA_63978>),0,ore_ont_11519.owl,207028,17507,2,18681
9065,9083,26.41,1,0.29,SubClassOf(<file:/media/owl/Seagate%20Expansion%20Drive/mowlcorp_rep/mowlcorp_2014.10.07_orig/files/87d0a399-d147-45f0-8680-92eb7f975195_ka.owl#PhDStudent> <http://www.absoluteiri.edu/RELAPPROXC276>),0,ore_ont_2713.owl,733,9088,3,9117
21085,22627,922.08,1,4.16,SubClassOf(<http://purl.obolibrary.org/obo/GO_0044346> <http://purl.obolibrary.org/obo/GO_0008219>),0,ore_ont_795.owl,153762,22148,4,22732
9031,9135,57.87,1,0.64,SubClassOf(<http://purl.obolibrary.org/obo/ID_0000114> <http://purl.obolibrary.org/obo/ID_0000063>),0,ore_ont_6207.owl,550,9097,4,9127
9190,9142,37.99,1,0.41,SubClassOf(<http://purl.obolibrary.org/obo/DIS_1634> <http://purl.obolibrary.org/obo/DIS_2400>),0,ore_ont_1473.owl,3091,9183,2,9217
6842,6977,75.48,1,1.10,SubClassOf(<http://rhizomik.net/ontologies/2006/01/NewsCodes-SubjectsOnto.owl#15016001> <http://rhizomik.net/ontologies/2006/01/NewsCodes-SubjectsOnto.owl#15016000>),0,ore_ont_380.owl,3621,6890,1,6851
9060,9141,42.19,1,0.46,SubClassOf(<http://purl.org/net/miCLIP#PaykelScale> <http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Clinical_Assessment_Tool>),0,ore_ont_2066.owl,822,9107,2,9121
10413,10528,79.27,1,0.75,SubClassOf(<http://purl.obolibrary.org/obo/RGD_1305355> <http://purl.obolibrary.org/obo/SO_0001217>),0,ore_ont_1357.owl,195230,10502,1,10565
