Iteration 1,Iteration 2,Standard Deviation,Num of Justifications,Std Dev %,defectAxiom,Max Common Axioms,example,Axiom Count:,Average Runtime,Max Justification Size,Iteration 3
16714,16621,1268.43,1,7.29,SubClassOf(<http://purl.obolibrary.org/obo/FMA_75729> <http://purl.obolibrary.org/obo/FMA_239965>),0,ore_ont_11519.owl,207028,17399,2,18863
13880,13646,119.73,1,0.87,SubClassOf(<file:/media/owl/Seagate%20Expansion%20Drive/mowlcorp_rep/mowlcorp_2014.10.07_orig/files/87d0a399-d147-45f0-8680-92eb7f975195_ka.owl#Reuse> <http://www.absoluteiri.edu/RELAPPROXC326>),0,ore_ont_2713.owl,733,13748,2,13719
16653,16738,61.29,1,0.37,SubClassOf(<http://purl.obolibrary.org/obo/GO_0009800> <http://purl.obolibrary.org/obo/GO_1901362>),0,ore_ont_795.owl,153762,16670,2,16619
14244,13741,269.45,1,1.93,SubClassOf(<http://purl.obolibrary.org/obo/ID_0000225> <http://purl.obolibrary.org/obo/ID_0000136>),0,ore_ont_6207.owl,550,13936,2,13825
14228,13891,179.77,1,1.28,SubClassOf(<http://purl.obolibrary.org/obo/DIS_0591> <http://purl.obolibrary.org/obo/DIS_0721>),0,ore_ont_1473.owl,3091,14095,3,14168
6002,6003,0.58,1,0.01,SubClassOf(<http://rhizomik.net/ontologies/2006/01/NewsCodes-SubjectsOnto.owl#15021005> <http://rhizomik.net/ontologies/2006/01/NewsCodes-SubjectsOnto.owl#SubjectDetail>),0,ore_ont_380.owl,3621,6002,1,6002
13840,13874,32.02,1,0.23,SubClassOf(<http://purl.obolibrary.org/obo/NBO_0000516> <http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Mood_Disorder>),0,ore_ont_2066.owl,822,13872,2,13904
6002,6002,0.00,1,0.00,SubClassOf(<http://purl.obolibrary.org/obo/ENSEMBL#_ENSRNOG00000031485> <http://purl.obolibrary.org/obo/ENSEMBL#_ENSFM00250000003411>),0,ore_ont_1357.owl,195230,6002,1,6002
13566,13502,32.13,1,0.24,SubClassOf(<http://grapson.com/concept#Terminology> <http://grapson.com/semantics#Place>),0,ore_ont_13035.owl,1296,13532,3,13529
16204,17030,440.63,1,2.67,SubClassOf(<http://purl.obolibrary.org/obo/NCBITaxon_1108738> <http://purl.obolibrary.org/obo/NCBITaxon_33202>),0,ore_ont_10689.owl,1962292,16528,1,16351
6005,6002,1.73,1,0.03,SubClassOf(<http://purl.obolibrary.org/obo/EMAP_6977> ObjectSomeValuesFrom(<http://purl.obolibrary.org/obo/emap.mouse-gross-anatomy-and-development-ontology.6.orig#part_of> <http://purl.obolibrary.org/obo/EMAP_2528>)),0,ore_ont_2591.owl,27462,6003,1,6002
16900,16372,311.69,1,1.88,SubClassOf(<http://purl.obolibrary.org/obo/NCBITaxon_1268148> <http://purl.obolibrary.org/obo/NCBITaxon_92993>),0,ore_ont_9674.owl,1962292,16540,1,16349
14881,13961,464.13,1,3.23,SubClassOf(<http://purl.obolibrary.org/obo/MI_0372> <http://purl.obolibrary.org/obo/MI_0342>),0,ore_ont_725.owl,4185,14385,2,14314
21068,20473,343.81,1,1.66,SubClassOf(<http://purl.obolibrary.org/obo/CHEBI_61631> <http://purl.obolibrary.org/obo/CHEBI_35373>),0,ore_ont_13224.owl,192934,20671,2,20472
18141,18042,1172.20,1,6.73,SubClassOf(<http://purl.obolibrary.org/obo/ENSEMBL_ENSDARG00000054254> ObjectSomeValuesFrom(<http://purl.obolibrary.org/obo/RO_0002158> <http://purl.obolibrary.org/obo/ENSEMBL_ENSDARG00000041484>)),0,ore_ont_15059.owl,3280784,17415,1,16063
42310,42951,451.78,1,1.06,SubClassOf(<http://purl.org/obo/owl/GO#GO_0002490> <http://purl.org/obo/owl/GO#GO_0002483>),0,ore_ont_9499.owl,372704,42814,3,43182
6002,6002,0.00,1,0.00,SubClassOf(<http://purl.obolibrary.org/obo/ZFIN_ZDB-GENE-050417-167> ObjectSomeValuesFrom(<http://purl.obolibrary.org/obo/RO_0002200> <http://purl.obolibrary.org/obo/GO_0003676>)),0,ore_ont_13902.owl,99121,6002,1,6002
18345,15956,1296.37,1,7.69,SubClassOf(<http://www.semanticweb.org/associatedmedicine/lavima/2011/10/Ontology1.owl#Variable_qualitative> <http://www.semanticweb.org/associatedmedicine/lavima/2011/10/Ontology1.owl#Adresse>),0,ore_ont_1325.owl,823,16859,2,16278
16927,19002,1352.37,2,7.74,SubClassOf(<http://purl.obolibrary.org/obo/HP_0002058> <http://purl.obolibrary.org/obo/HP_0001291>),1,ore_ont_3712.owl,23056,17463,3,16462
21281,10184,6429.49,1,46.40,SubClassOf(<http://purl.obolibrary.org/obo/GAZ_00204618> ObjectSomeValuesFrom(<http://purl.obolibrary.org/obo/gaz.gazetteer.13.orig#partial_overlaps> <http://purl.obolibrary.org/obo/GAZ_00153283>)),0,ore_ont_14042.owl,1169399,13857,1,10106
36009,16200,10873.65,1,46.24,SubClassOf(<http://purl.obolibrary.org/obo/NCBITaxon_80634> <http://purl.obolibrary.org/obo/NCBITaxon_227334>),0,ore_ont_8486.owl,1807230,23513,1,18332
15057,14267,949.75,2,6.71,SubClassOf(<file:/media/owl/Seagate%20Expansion%20Drive/mowlcorp_rep/mowlcorp_2014.10.07_orig/files/5829d1da-f6bd-4115-9aab-c35afec13c32_rm_v5.0.1.rdfs#E12> <file:/media/owl/Seagate%20Expansion%20Drive/mowlcorp_rep/mowlcorp_2014.10.07_orig/files/5829d1da-f6bd-4115-9aab-c35afec13c32_rm_v5.0.1.rdfs#E5>),0,ore_ont_6024.owl,696,14163,3,13166
8004,8002,1.00,1,0.01,SubClassOf(<http://purl.obolibrary.org/obo/RGD_621148> ObjectSomeValuesFrom(<http://purl.obolibrary.org/obo/RO_0002214> ObjectSomeValuesFrom(<http://purl.obolibrary.org/obo/BFO_0000050> <http://purl.obolibrary.org/obo/GO_0031252>))),0,ore_ont_6233.owl,399651,8003,1,8003
